"filename", "language", "TypeScript", "SCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\_common.scss", "SCSS", 0, 21, 0, 0, 0, 6, 27
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\common.scss", "SCSS", 0, 2, 0, 0, 4, 1, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\compile.js", "JavaScript", 0, 0, 12, 0, 0, 0, 12
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\body.scss", "SCSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\hr.scss", "SCSS", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\header.scss", "SCSS", 0, 10, 0, 0, 0, 4, 14
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\main.scss", "SCSS", 0, 19, 0, 0, 0, 3, 22
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\scrollBar.scss", "SCSS", 0, 16, 0, 0, 0, 2, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\iconWithDescription.scss", "SCSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\moviePlaceHolder.scss", "SCSS", 0, 11, 0, 0, 0, 1, 12
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\recordCard.scss", "SCSS", 0, 9, 0, 0, 0, 2, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\recordCardsGroup.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\runnerNote.scss", "SCSS", 0, 13, 0, 0, 0, 4, 17
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\stateInfo.scss", "SCSS", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\tags.scss", "SCSS", 0, 29, 0, 0, 0, 4, 33
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\title.scss", "SCSS", 0, 11, 0, 0, 0, 2, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\biggerChara.scss", "SCSS", 0, 17, 0, 0, 0, 0, 17
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\fontChanger.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\space.scss", "SCSS", 0, 16, 0, 0, 0, 0, 16
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\underline.scss", "SCSS", 0, 3, 0, 0, 0, 1, 4
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\unused.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\width.scss", "SCSS", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\App.ts", "TypeScript", 131, 0, 0, 0, 2, 31, 164
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\exampleInputData.json", "JSON", 0, 0, 0, 40, 0, 3, 43
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\index.ts", "TypeScript", 23, 0, 0, 0, 39, 2, 64
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\interface\AppInterfaces.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\interface\PageStates.ts", "TypeScript", 8, 0, 0, 0, 1, 2, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\test\exampleData.json", "JSON", 0, 0, 0, 50, 0, 0, 50
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\utility\aboutElement.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\IView.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\RecordDetailView.ts", "TypeScript", 58, 0, 0, 0, 1, 16, 75
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\RecordsGroupView.ts", "TypeScript", 70, 0, 0, 0, 2, 4, 76
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\StateInfoView.ts", "TypeScript", 17, 0, 0, 0, 0, 1, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\TagsView.ts", "TypeScript", 104, 0, 0, 0, 0, 7, 111
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\widgets.ts", "TypeScript", 46, 0, 0, 0, 1, 3, 50
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\indexOnServer.ts", "TypeScript", 25, 0, 0, 0, 0, 4, 29
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\firebaseAdmin.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\firestore\RecordDataBase.ts", "TypeScript", 116, 0, 0, 0, 7, 20, 143
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\function\apiDefinition.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\function\record\detail.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
