Date : 2021-04-27 01:46:41
Directory : /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src
Total : 146 files,  4571 codes, 107 comments, 414 blanks, all 5092 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         93 |      2,954 |         83 |        288 |      3,325 |
| HTML       |         16 |        912 |         20 |         65 |        997 |
| SCSS       |         35 |        615 |          4 |         57 |        676 |
| JSON       |          2 |         90 |          0 |          4 |         94 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        146 |      4,571 |        107 |        414 |      5,092 |
| html                                                                                                                                              |         16 |        912 |         20 |         65 |        997 |
| html/example                                                                                                                                      |          7 |        677 |         14 |         60 |        751 |
| html/parts                                                                                                                                        |          8 |        202 |          6 |          3 |        211 |
| scss                                                                                                                                              |         35 |        615 |          4 |         57 |        676 |
| scss/choicesjs                                                                                                                                    |          1 |         13 |          0 |          1 |         14 |
| scss/foundation                                                                                                                                   |          3 |         24 |          0 |          0 |         24 |
| scss/layout                                                                                                                                       |          5 |         97 |          0 |         11 |        108 |
| scss/object                                                                                                                                       |         24 |        444 |          0 |         35 |        479 |
| scss/object/component                                                                                                                             |         15 |        259 |          0 |         25 |        284 |
| scss/object/project                                                                                                                               |          1 |         10 |          0 |          0 |         10 |
| scss/object/utility                                                                                                                               |          8 |        175 |          0 |         10 |        185 |
| ts                                                                                                                                                |         95 |      3,044 |         83 |        292 |      3,419 |
| ts/client                                                                                                                                         |         45 |      1,874 |         53 |        181 |      2,108 |
| ts/client/Administrator                                                                                                                           |          6 |        207 |         11 |         16 |        234 |
| ts/client/interface                                                                                                                               |          2 |         34 |          0 |          4 |         38 |
| ts/client/test                                                                                                                                    |          1 |         50 |          0 |          0 |         50 |
| ts/client/type                                                                                                                                    |          1 |          5 |          0 |          2 |          7 |
| ts/client/utility                                                                                                                                 |          1 |         24 |          1 |          5 |         30 |
| ts/client/view                                                                                                                                    |         30 |      1,429 |         41 |        143 |      1,613 |
| ts/client/view/parts                                                                                                                              |         13 |        997 |         16 |        101 |      1,114 |
| ts/client/view/state                                                                                                                              |         15 |        429 |         25 |         41 |        495 |
| ts/setting                                                                                                                                        |          1 |          7 |          0 |          2 |          9 |
| ts/type                                                                                                                                           |         41 |        891 |         29 |         96 |      1,016 |
| ts/type/api                                                                                                                                       |         26 |        709 |         17 |         74 |        800 |
| ts/type/api/list                                                                                                                                  |         15 |        405 |         13 |         47 |        465 |
| ts/type/api/list/atServer_getlist                                                                                                                 |          6 |        176 |          7 |         20 |        203 |
| ts/type/api/list/atServer_pickup                                                                                                                  |          6 |        148 |          6 |         17 |        171 |
| ts/type/api/record                                                                                                                                |          8 |        264 |          4 |         20 |        288 |
| ts/type/foundation                                                                                                                                |          3 |         34 |          1 |          1 |         36 |
| ts/type/list                                                                                                                                      |          6 |         65 |          3 |         12 |         80 |
| ts/type/record                                                                                                                                    |          5 |         81 |          7 |          9 |         97 |
| ts/utility                                                                                                                                        |          8 |        272 |          1 |         13 |        286 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/detail.html                                                                 | HTML       |        146 |          6 |         14 |        166 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/gameModeSelector.html                                                       | HTML       |        118 |          1 |          5 |        124 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/gameSystemSelector.html                                                     | HTML       |         99 |          1 |          9 |        109 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/mainMenu.html                                                               | HTML       |         91 |          0 |         15 |        106 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/offer.html                                                                  | HTML       |        108 |          5 |         12 |        125 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/search.html                                                                 | HTML       |         53 |          1 |          4 |         58 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/example/searchResult.html                                                           | HTML       |         62 |          0 |          1 |         63 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/SearchConditionSelector.html                                                  | HTML       |         23 |          1 |          0 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/gameModeSelector.html                                                         | HTML       |         25 |          1 |          0 |         26 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/menu.html                                                                     | HTML       |         23 |          1 |          0 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/postRecord.html                                                               | HTML       |         23 |          1 |          0 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/recordCard.html                                                               | HTML       |         39 |          0 |          1 |         40 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/recordGroupHeader.html                                                        | HTML       |         23 |          0 |          2 |         25 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/runner.html                                                                   | HTML       |         23 |          1 |          0 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/parts/runnerInGameSystem.html                                                       | HTML       |         23 |          1 |          0 |         24 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/html/test.html                                                                           | HTML       |         33 |          0 |          2 |         35 |
| /Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/_common.scss                                                                        | SCSS       |         35 |          0 |          9 |         44 |
