"filename", "language", "TypeScript", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\detail.html", "HTML", 0, 0, 0, 146, 6, 14, 166
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\gameModeSelector.html", "HTML", 0, 0, 0, 118, 1, 5, 124
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\gameSystemSelector.html", "HTML", 0, 0, 0, 99, 1, 9, 109
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\mainMenu.html", "HTML", 0, 0, 0, 91, 0, 15, 106
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\offer.html", "HTML", 0, 0, 0, 108, 5, 12, 125
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\search.html", "HTML", 0, 0, 0, 53, 1, 4, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\example\searchResult.html", "HTML", 0, 0, 0, 62, 0, 1, 63
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\parts\operationButton.html", "HTML", 0, 0, 0, 54, 1, 3, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\parts\radioButton.html", "HTML", 0, 0, 0, 46, 1, 3, 50
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\parts\recordCard.html", "HTML", 0, 0, 0, 39, 0, 1, 40
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\parts\recordGroupHeader.html", "HTML", 0, 0, 0, 23, 0, 2, 25
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\html\test.html", "HTML", 0, 0, 0, 33, 0, 2, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\_common.scss", "SCSS", 0, 43, 0, 0, 0, 8, 51
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\choicesjs\choices.scss", "SCSS", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\common.scss", "SCSS", 0, 2, 0, 0, 4, 1, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\body.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\hr.scss", "SCSS", 0, 13, 0, 0, 0, 0, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\li.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\p.scss", "SCSS", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\foundation\variables.scss", "SCSS", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\a.scss", "SCSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\header.scss", "SCSS", 0, 49, 0, 0, 0, 6, 55
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\main.scss", "SCSS", 0, 31, 0, 0, 0, 1, 32
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\pageSequenceAnimation.scss", "SCSS", 0, 20, 0, 0, 0, 6, 26
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\layout\scrollBar.scss", "SCSS", 0, 16, 0, 0, 0, 2, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\notie\overwrite.scss", "SCSS", 0, 9, 0, 0, 0, 0, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\button.scss", "SCSS", 0, 28, 0, 0, 0, 4, 32
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\c-ballon.scss", "SCSS", 0, 39, 0, 0, 0, 2, 41
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\c-loadingSpinner.scss", "SCSS", 0, 80, 0, 0, 0, 20, 100
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\iconWithDescription.scss", "SCSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\icooon.scss", "SCSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\inlineSpace.scss", "SCSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\list.scss", "SCSS", 0, 14, 0, 0, 0, 0, 14
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\moviePlaceHolder.scss", "SCSS", 0, 11, 0, 0, 0, 1, 12
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\operationButton.scss", "SCSS", 0, 107, 0, 0, 0, 40, 147
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\radioButton.scss", "SCSS", 0, 39, 0, 0, 0, 5, 44
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\recordCard.scss", "SCSS", 0, 23, 0, 0, 0, 1, 24
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\recordCardsGroup.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\runnerNote.scss", "SCSS", 0, 13, 0, 0, 0, 4, 17
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\stateInfo.scss", "SCSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\tags.scss", "SCSS", 0, 35, 0, 0, 0, 4, 39
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\textInput.scss", "SCSS", 0, 26, 0, 0, 0, 0, 26
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\title.scss", "SCSS", 0, 16, 0, 0, 0, 2, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\userIcon.scss", "SCSS", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\project\KSSRsHeader.scss", "SCSS", 0, 20, 0, 0, 0, 1, 21
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\project\titlePostHeader.scss", "SCSS", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\background.scss", "SCSS", 0, 134, 0, 0, 0, 4, 138
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\flex.scss", "SCSS", 0, 13, 0, 0, 0, 0, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\fontChanger.scss", "SCSS", 0, 51, 0, 0, 0, 7, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\height.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\indent.scss", "SCSS", 0, 21, 0, 0, 0, 2, 23
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\margin.scss", "SCSS", 0, 53, 0, 0, 0, 3, 56
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\space.scss", "SCSS", 0, 29, 0, 0, 0, 2, 31
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\underline.scss", "SCSS", 0, 15, 0, 0, 0, 2, 17
